factor,type,direction,ic_mean,ic_std,ic_ir,ic_positive_ratio,sharpe,long_sharpe,short_sharpe,ann_ret,long_ann_ret,short_ann_ret,max_dd,final_nav,n_days,avg_valid_count,ret_2022,ret_2023,ret_2024,ret_2025
close_position_intra,Intraday,-1,0.0071263811773347,0.13828293324478666,0.05153478086389638,0.5144429160935351,-0.5501809391833854,-0.7404858025460963,0.5102398481530258,-0.08511252762117139,-0.5987965172736978,0.08056438462897253,-0.3305417788368361,0.7016261629265307,1454,209.47775496235454,-0.08643749916286081,-0.10514575489221045,-0.0692908793739303,-0.07785070663229954
downside_vol,Daily,-1,0.049134783140959364,0.23017385629202733,0.21346812273909863,0.5940934065934066,-0.5687723404187294,-0.42956847179524094,0.25894337315613475,-0.13222529640769665,-0.5811252028222436,-0.039909146418783625,-0.49319274643986544,0.5679406256809453,1456,205.26899383983573,-0.15498558950423869,0.1443989917140518,-0.1491029219587866,-0.30978511413510057
asym_volume,Intraday,-1,0.01796583330589247,0.11026951463580437,0.16292655078753274,0.5714285714285714,-0.5757853096604022,-0.6266867545659711,0.44315172239100137,-0.07062494251973783,-0.561220292959163,0.030166372807025832,-0.25388414903256296,0.7466423892248587,1456,208.5359342915811,-0.11289922592321466,-0.10639081696090491,0.017511234256779362,-0.07433712026486439
smart_vol_ratio,Intraday,-1,0.013753575431672787,0.11577872219179182,0.11879189874777236,0.5391483516483517,-0.5876908635223619,-0.48334713345597835,0.27345494151327476,-0.0735385396738577,-0.4939431134972829,-0.12252876546757463,-0.4596710372528572,0.7373487824073724,1456,208.5359342915811,-0.16364636642376984,-0.23627500742519414,-0.13674199618196825,0.3372278187524773
bb_width,Daily,-1,0.05786319468794505,0.21947730643601757,0.2636408883959242,0.6270604395604396,-0.6171072471128867,-0.4315637497705939,0.22706285052195738,-0.13689418653615026,-0.5727232547869423,-0.06557713902998974,-0.4571973221219,0.555849008479684,1456,205.26899383983573,-0.19336262963315598,-0.0378457898164426,0.00576104565623381,-0.2879032535718752
pre_extreme_ret,Intraday,-1,0.013026990257089489,0.0980462940704095,0.13286569423090627,0.5577716643741404,-0.6211407707972999,-0.6441385047360076,0.48221044236759375,-0.06749317600746685,-0.5910327163909166,0.055653842985359026,-0.3677789839933653,0.7570192887255406,1454,208.29158110882958,-0.16712670595999202,-0.11684817032877504,0.03921114828195771,-0.00964969741957833
post_extreme_ret,Intraday,-1,0.0032691015829172535,0.11955794948921446,0.027343236676870226,0.5061813186813187,-0.6381082600521726,-0.6735792362975482,0.4850589851790911,-0.08369913517217631,-0.6083932012075883,0.05732961870210196,-0.31290722135432103,0.7056159784790333,1456,209.91307323750857,-0.1744508195639647,0.02642554919832607,-0.047337179266841445,-0.12590469821350359
vwap_deviation,Daily,-1,0.03828047428098271,0.18303857572643042,0.20913882244586796,0.5872252747252747,-0.6411136127783903,-0.7386846302274066,0.3814429239655692,-0.12248176808168398,-0.5828637990520964,-0.05336336732218361,-0.5042279294297283,0.5938085467473249,1456,205.26899383983573,-0.31201490301427526,-0.1403784490062252,-0.07971081758727994,0.09102776143369362
err_factor,Intraday,-1,0.02065997232122556,0.11830445676531538,0.1746339160820483,0.577028885832187,-0.6678895791653116,-0.7177535678365413,0.520889583477049,-0.08640354129493066,-0.6275904743907663,0.08564114244726784,-0.36388339234859557,0.6976904252382118,1454,208.29158110882958,-0.2049532051223456,-0.06527715516954125,-0.0447583113008958,-0.017180087203496952
extreme_ret,Intraday,-1,0.019889492139885008,0.12142716740264194,0.16379769805513297,0.5686813186813187,-0.6711498453798743,-0.7082279286118726,0.5129581383013228,-0.08795584134177725,-0.6282887441403757,0.07778270434419676,-0.3322355665622575,0.6926305561254184,1456,209.97056810403834,-0.2130025208198013,-0.04271089043795839,-0.0446901545045536,-0.03763253160067015
