date,lower_threshold,upper_threshold,n_symbols,raw_min,raw_max,raw_mean,raw_std
2020-02-28,-0.04072031837509872,0.006302997248732297,23,-0.041535115211373985,0.011631403710893107,-0.0257851269382814,0.011271075743775288
2020-02-29,-0.04772142280731812,0.04598830271672118,23,-0.048589275948490274,0.05176484560355932,-0.00785854347829511,0.02311476473916744
2020-03-01,0.04445349611527809,0.10941939818632454,23,0.04383490346822527,0.11272270921433791,0.07066049988944981,0.016860169358302892
2020-03-02,-0.0420557286897947,0.0651944318695488,23,-0.04226037408365868,0.08238006919933971,-0.01590767998324521,0.024292400224552656
2020-03-03,-0.055639710731107,0.10805429972773378,23,-0.06268315530199153,0.12324532854508097,0.011062680874874576,0.03528657948112544
2020-03-04,-0.0032342070749505816,0.05223644920196853,23,-0.0038364382891091786,0.055484965590145485,0.023609618382411025,0.014214948075478686
2020-03-05,-0.005199575868872241,0.06855411327907317,23,-0.0069181856269323605,0.07241864736801973,0.02501944382052817,0.017937001864851327
2020-03-06,-0.07232917124200054,-0.022818324803434216,23,-0.0723372407987869,-0.021689928367231825,-0.05022489875175116,0.013083028315259915
2020-03-07,-0.18376877626304777,-0.07346494305424746,23,-0.1858516839938419,-0.0670973461261154,-0.14606587112989938,0.02595699515057821
2020-03-08,-0.030949047702092492,0.07283992989321894,23,-0.031098811739812215,0.07838201467929151,0.0017785733154590292,0.027668110846444768
2020-03-09,-0.01727733889676218,0.04401671575472863,23,-0.017368265843987207,0.04824923343138665,0.004338768625544537,0.01573141912311331
2020-03-10,-0.061967748020415006,0.003147559031043738,23,-0.06457846214713003,0.005268981611112,-0.02662204688742483,0.01544329043577659
2020-03-11,-0.4863484770350766,-0.3511862671453932,23,-0.4870656089049473,-0.3466666076790269,-0.43010631093536766,0.041348614813676104
2020-03-12,0.08233530472348875,0.32443841985453964,23,0.0785192736395326,0.3340966889326136,0.195039811163391,0.06278054518406963
2020-03-13,-0.12423522123916349,0.019293263896157303,23,-0.12919285357607346,0.020470981774779906,-0.06611804557297644,0.03571189703595495
2020-03-14,-0.0244091391563487,0.09056594056195463,23,-0.024848897638748868,0.09765751887214091,0.03188866228295871,0.03126863355857398
2020-03-15,-0.14519125229532037,-0.033133219765796716,23,-0.14562627294301633,-0.03148084143101115,-0.09759876007228212,0.030490162562215168
2020-03-16,0.018195306511549932,0.10214074986829591,23,0.016247769906220233,0.1035525991542634,0.055428795713041816,0.02194065521565797
2020-03-17,-0.009827200661082992,0.33038899394067756,23,-0.011665297468837932,0.37171346087390145,0.03828431659734893,0.08172920426264715
2020-03-18,0.051884275232932146,0.19215862127520586,23,0.045609624557339856,0.19546545126154324,0.13577863451869496,0.03388968067577787
