logic,window,penalty,dir_th,opt_sharpe,opt_ret,opt_dd,test_sharpe,test_ret,test_dd,test_total
sma+dir,10,200,0.002,1.9197913731238005,0.7209778741773629,0.2525851463377511,2.468343153182953,0.8358531681307675,0.1582537035676009,0.0958633494053529
sma+dir,10,200,0.003,1.8677696127438923,0.6925473596970917,0.25272278665272246,3.0935767069583044,1.1883475829024261,0.14989350666212917,0.12525357636576429
sma,10,250,OFF,1.8129961023673282,0.6769703432111183,0.26038317486738055,3.151455539981936,1.2930995072061835,0.15630985788907678,0.13320974391661622
ewm,10,250,OFF,1.8275204427910996,0.6799619541178723,0.2673771423317164,2.3896088068380745,0.7866649928320741,0.1555811952955761,0.09138781696447551
sma+dir,10,250,0.001,1.7090372184640727,0.6201026657233235,0.2759067422215678,1.8170388145736789,0.568034434928266,0.176415254147624,0.0701314916067386
sma+dir,10,250,0.002,1.7934819096774537,0.6613778541622259,0.25822385567845296,2.557753605820753,0.8981378634645987,0.16543267803354467,0.10138662528648501
sma+dir,10,250,0.003,1.7613340872092058,0.6454716495831043,0.2605752360292356,2.692149545592408,0.9884585260134597,0.16263835095406942,0.10912870164473132
sma,10,300,OFF,1.6849379150134427,0.6070691985176646,0.26769644394931463,1.8056750475489138,0.6222972286018014,0.18578846890410822,0.07563144250464093
ewm,10,300,OFF,1.7146668974440749,0.6230433400084263,0.285991732871018,1.1925382208691013,0.3211549341325708,0.18408254727288045,0.04285975445260726
sma+dir,10,300,0.001,1.5702945131270074,0.5503104003429513,0.26769461161899516,1.3075594330606999,0.3890236805162268,0.1943003423986194,0.050761601591358785
sma+dir,10,300,0.002,1.682033217269308,0.6015307670492998,0.26834782174998284,1.5611104058650582,0.48734692042630257,0.18512659660562103,0.06164650015892836
sma+dir,10,300,0.003,1.6647311894198182,0.5945139552254974,0.2700980287816861,1.7709659625972747,0.5778298610419137,0.1829354519860653,0.0711361663922534
sma,10,400,OFF,1.5852236912539364,0.5533531445447382,0.2930724550578293,1.2997414299380805,0.41357156574095977,0.20355269114948116,0.05353902548391831
ewm,10,400,OFF,1.437699553292291,0.4884755330667694,0.3215723924861641,0.7356714074791509,0.17972699548576787,0.19825733055832953,0.025218402356345315
sma+dir,10,400,0.001,1.510021822040213,0.5137502788597816,0.2564891823473846,0.9561781336893127,0.2698736700545572,0.2115552796474769,0.03665714805395304
sma+dir,10,400,0.002,1.56684718207075,0.5411568293964597,0.2922644645587006,1.3387869541184942,0.4154343010679351,0.2021939033592242,0.053748104719773204
sma+dir,10,400,0.003,1.5639764808301426,0.5415087021253124,0.2947432822802647,1.4757296343019475,0.4813275268759767,0.2024353406381733,0.06099795857597745
sma,10,500,OFF,1.4491362426487002,0.49084291776751154,0.3399265444908322,0.9964998855151059,0.2999715489194372,0.2102372741414273,0.04032279351743151
ewm,10,500,OFF,1.1989650666301832,0.38185071441852125,0.32725259967599657,1.5690647555314114,0.4983116847336886,0.19562282655900723,0.06282215873331665
sma+dir,10,500,0.001,1.4139803985676085,0.47433948303773255,0.32396728976036354,0.29962540037763763,0.04636906312833333,0.2135476659385275,0.006853343141321577
sma+dir,10,500,0.002,1.4541839643900816,0.49183030436906283,0.336648233425723,0.8081559967012971,0.22006588926672932,0.20732480486851673,0.030425646535435558
sma+dir,10,500,0.003,1.4066195888527124,0.47112673129261395,0.34226616735234405,1.0412784134011899,0.31163471822785227,0.20706314874677798,0.04172390273557047
sma,10,700,OFF,1.3736542672487764,0.4588831646515814,0.2901116404855962,1.0789547292938502,0.31677348032334907,0.18627966853397632,0.04233787203098749
ewm,10,700,OFF,1.3579424021177893,0.4516248342227296,0.29991776002152937,0.8151505099080424,0.20771373798985526,0.18745412331706449,0.028846870047988915
sma+dir,10,700,0.001,1.3969619421450583,0.4699629868467461,0.27681315858640904,0.6596595122269132,0.16189597862529692,0.1907784560389488,0.022868306869677113
sma+dir,10,700,0.002,1.4159841047816328,0.4782086354972259,0.2885314209286958,0.8549536538900624,0.2311833632483251,0.18627966852259703,0.03183504874296461
sma+dir,10,700,0.003,1.3694226788307522,0.4569508390675818,0.29011164047018745,1.0392705964381286,0.301335177712736,0.1862796685312935,0.040487157584469635
sma,10,1000,OFF,1.1171717596664419,0.34957355427348613,0.28022219369551477,1.1467950957522366,0.33940468142720626,0.17710974312269706,0.04501782368318796
ewm,10,1000,OFF,1.3825620060278407,0.4666830313266903,0.2732180150648225,0.5712821986827947,0.128749762579365,0.19347754497739136,0.01841708535809583
sma+dir,10,1000,0.001,1.186262309384584,0.3775090425099099,0.2680219702224187,0.6672273386220325,0.16528823590239106,0.18094996072704553,0.023317748468383304
sma+dir,10,1000,0.002,1.1352111222765968,0.35719535623747567,0.27187118435199165,0.9901749825674386,0.2779315700732441,0.17710974311254135,0.03764569898968939
sma+dir,10,1000,0.003,1.1215352753575862,0.35133128403793856,0.2797696957670884,1.1467950957522366,0.33940468142720626,0.17710974312269706,0.04501782368318796
sma,14,50,OFF,1.5432022213698482,0.5347738731754215,0.22421493833931969,0.6645295540644485,0.164479624061453,0.130707362792594,0.023210716114038465
ewm,14,50,OFF,1.664966392694055,0.592139145527975,0.23290837476765883,1.2236853643882615,0.3680652062595895,0.13017180991605656,0.04835710649551617
sma+dir,14,50,0.001,1.533505844257202,0.5237689337356735,0.27983034401787216,-0.4858480957913168,-0.14159392627240364,0.16556999438496867,-0.02274364930040007
sma+dir,14,50,0.002,1.7211999009488534,0.6029803902623243,0.2315734109782287,0.2023760868594036,0.018246022445143728,0.17801290423472033,0.0027283339692121267
sma+dir,14,50,0.003,1.823352248060361,0.6513801469348075,0.21323950186804538,1.0260794081084486,0.2900928109175307,0.18484474251956093,0.03912767390153293
sma,14,100,OFF,1.479791158120629,0.5088406508050223,0.27268579554431266,2.4647337957782187,0.8733925345024129,0.11097424126036465,0.09921095957807302
